"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
130268756992804_2188363107850015,https://www.facebook.com/YaleClimateConnections/posts/2188363107850015,"Latinos are often underrepresented in the environmental movement. Colomba Sainz is working to change that.",Link,,,"11/30/2018 06:01:38 AM"," ",26465,6428,20208,32293,8099,24194,4487,235,279,12,12,3443,2605,2,2,234,0,0,0,0,0,0,0,0,0,0,307,4267,51,317,4377,98,122,117,,,160,119,,,10,2,,10,2,
130268756992804_2186886951330964,https://www.facebook.com/YaleClimateConnections/posts/2186886951330964,"Against rising seas and increasingly intense storms, a community stands together.",Link,,,"11/29/2018 06:00:49 AM"," ",6573,2900,3566,7907,3767,4140,886,142,165,13,13,2909,2294,1,1,139,0,0,0,0,0,0,0,0,0,0,54,779,18,55,781,33,52,98,,,66,99,,,11,2,,11,2,
130268756992804_2185307854822207,https://www.facebook.com/YaleClimateConnections/posts/2185307854822207,"Footage from one of the world’s top cycling events shows climate change happening right before our eyes:",Link,,,"11/28/2018 06:00:16 AM"," ",32113,12400,19921,38694,16257,22437,4046,2784,2980,18,21,6047,4616,3,3,699,0,0,0,0,0,0,0,0,0,0,436,1615,57,447,1682,85,285,2542,,,401,2579,,,16,5,,15,3,
130268756992804_2183745048311821,https://www.facebook.com/YaleClimateConnections/posts/2183745048311821,"In a warmer Arctic, more shipping/more risks ... https://www.yaleclimateconnections.org/2018/11/more-arctic-shipping-more-risks-to-sea-mammals/",Link,,,"11/27/2018 06:12:57 AM"," ",2270,2270,0,2843,2843,0,127,36,43,5,6,2534,2060,0,0,119,0,0,0,0,0,0,0,0,0,0,9,100,2,9,103,3,16,20,,,23,20,,,6,,,5,,
130268756992804_2183731901646469,https://www.facebook.com/YaleClimateConnections/posts/2183731901646469,"In Connecticut, low-income homeowners install solar at the same rates as homeowners with higher incomes. Find out why:",Link,,,"11/27/2018 06:00:34 AM"," ",10079,6298,3802,12162,7815,4347,1140,225,291,7,8,3510,2811,2,2,233,0,0,0,0,0,0,0,0,0,0,126,977,15,126,1015,19,138,105,,,182,109,,,6,2,,5,2,
130268756992804_2182282828458043,https://www.facebook.com/YaleClimateConnections/posts/2182282828458043,"“We can't get away with saying that humans are not responsible for the carbon that's been added to the atmosphere. The isotopes don't lie and they show it.” - James Powell of the National Physical Sciences Consortium",Link,,,"11/26/2018 06:00:47 AM"," ",65513,43993,19592,82382,59169,23213,6679,1847,3056,41,45,10875,8043,4,4,1127,0,0,0,0,0,0,0,0,0,0,1619,4714,372,1707,4871,1109,1349,612,4,,2419,633,4,,37,8,,35,8,
130268756992804_2177753235577669,https://www.facebook.com/YaleClimateConnections/posts/2177753235577669,"Carlos Zegarra says environmental groups have often failed to include Latinos in climate action. Now he’s changing that.",Link,,,"11/23/2018 06:01:45 AM"," ",3019,3019,0,3893,3893,0,155,71,81,11,11,3487,2711,0,0,144,0,0,0,0,0,0,0,0,0,0,15,107,4,15,109,5,52,20,,,61,20,,,11,,,11,,
130268756992804_2176270532392606,https://www.facebook.com/YaleClimateConnections/posts/2176270532392606,"Can fiction help people understand climate change?",Link,,,"11/22/2018 06:05:13 AM"," ",12833,4946,8123,16236,6182,10054,1539,194,287,7,7,3671,2917,4,4,143,0,0,0,0,0,0,0,0,0,0,129,1345,68,134,1385,120,88,114,,,169,118,,,6,1,,6,1,
130268756992804_2174818909204435,https://www.facebook.com/YaleClimateConnections/posts/2174818909204435,"Whether or not you like their Swedish meatballs, you’ll probably like Ikea’s new delivery fleet:",Link,,,"11/21/2018 06:02:04 AM"," ",28250,9716,18683,33842,12257,21585,3023,387,491,13,13,3492,2700,3,2,166,0,0,0,0,0,0,0,0,0,0,159,2645,63,167,2645,121,243,156,,,334,157,,,10,3,,10,3,
130268756992804_2172027619483564,https://www.facebook.com/YaleClimateConnections/posts/2172027619483564,"Tired of sleepless nights spent arguing on the internet? This one’s for you ... https://www.yaleclimateconnections.org/2018/11/focus-on-those-with-an-open-mind/",Link,,,"11/19/2018 08:30:00 AM"," ",2757,2757,0,3638,3638,0,151,110,255,8,9,2802,2196,0,0,128,0,0,0,0,0,0,0,0,0,0,18,68,9,19,70,45,71,52,,,205,51,,,8,1,,7,1,
