"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
130268756992804_1945831662103162,https://www.facebook.com/YaleClimateConnections/posts/1945831662103162,"As the climate changes, ecosystems are responding:",Link,,,"06/25/2018 06:02:02 AM"," ",3714,3714,0,5060,5060,0,160,88,112,8,8,4067,2925,0,0,136,0,0,0,0,0,0,0,0,0,0,22,90,4,23,94,5,54,,39,,71,,41,,,8,,,8,
130268756992804_1941182935901368,https://www.facebook.com/YaleClimateConnections/posts/1941182935901368,"This book guides parents and kids who want to help with climate change.",Link,,,"06/22/2018 06:02:31 AM"," ",2193,1917,264,2828,2564,264,119,50,68,3,3,1971,1418,1,1,74,0,0,0,0,0,0,0,0,0,0,16,75,,16,76,,24,,28,,37,,31,,1,2,,1,2,
130268756992804_1938203426199319,https://www.facebook.com/YaleClimateConnections/posts/1938203426199319,"This Saturday will be the 30th anniversary of James Hansen's global warming congressional territory. How have his warnings held up?",Link,,,"06/21/2018 12:25:00 PM"," ",28251,7967,20979,35221,10493,24728,2335,1143,1454,7,13,4067,3050,47,47,315,0,0,0,0,0,0,0,0,0,0,372,1593,112,394,1641,195,512,,738,,682,,772,,,13,,,7,
130268756992804_1939546146065047,https://www.facebook.com/YaleClimateConnections/posts/1939546146065047,"It’s important for kids to connect with other young people on the topic of climate change, says this elementary school teacher.",Link,,,"06/21/2018 06:01:17 AM"," ",13983,3532,10587,18130,4810,13320,1493,203,243,4,4,1884,1347,42,40,94,0,0,0,0,0,0,0,0,0,0,151,1379,25,156,1379,33,164,,47,,194,,49,,,4,,,4,
130268756992804_1937950612891267,https://www.facebook.com/YaleClimateConnections/posts/1937950612891267,"“Coal and the way we produced electricity for the last hundred years was not sustainable,” says Kiran Bhatraju, founder of Arcadia Power.",Link,,,"06/20/2018 06:02:36 AM"," ",12106,3314,9094,15183,4500,10683,1243,190,218,5,5,2884,2003,56,50,112,0,0,0,0,0,0,0,0,0,0,86,1138,15,87,1206,19,128,,68,,147,,71,,,4,1,,4,1
130268756992804_1936384316381230,https://www.facebook.com/YaleClimateConnections/posts/1936384316381230,"Residents of a tiny town in rural Virginia are leading a campaign to slow global warming, one signature at a time.",Link,,,"06/19/2018 06:02:41 AM"," ",28354,5634,23127,38084,7248,30836,2917,524,635,6,6,3233,2291,16,12,166,0,0,0,0,0,0,0,0,0,0,192,2656,49,209,2694,84,276,,277,,335,,300,,,5,1,,5,1
130268756992804_1934989266520735,https://www.facebook.com/YaleClimateConnections/posts/1934989266520735,"“If you can put together an Ikea bed-frame, you can probably put together our microgrid system.” —  Angelo Campus, founder of BoxPower",Link,,,"06/18/2018 06:03:49 AM"," ",42331,11109,31225,47698,15079,32619,3269,1964,2136,8,8,7150,4816,14,13,583,0,0,0,0,0,0,0,0,0,0,341,1700,57,348,1722,66,522,,1516,,627,,1561,,1,7,,1,7,
130268756992804_1930219576997704,https://www.facebook.com/YaleClimateConnections/posts/1930219576997704,"He’s reviving a landscape depleted by mountaintop removal.",Link,,,"06/15/2018 06:01:30 AM"," ",29576,10942,18437,33982,14770,19212,3482,964,1235,10,10,6414,4374,5,5,560,0,0,0,0,0,0,0,0,0,0,377,2910,112,378,2910,164,551,1,524,,664,1,575,,1,8,1,1,8,1
130268756992804_1928508957168766,https://www.facebook.com/YaleClimateConnections/posts/1928508957168766,"Rising waters have sailors at sea, even when they’re on land.",Link,,,"06/14/2018 06:00:37 AM"," ",79598,23201,58649,115642,32711,82931,8801,4267,5068,12,12,6391,4496,65,56,506,0,0,0,0,0,0,0,0,0,0,1528,5483,317,1581,5742,512,1951,,2584,,2301,,2788,,1,10,1,1,10,1
130268756992804_1927148943971434,https://www.facebook.com/YaleClimateConnections/posts/1927148943971434,"They’re witnessing change and sharing it with experts:",Link,,,"06/13/2018 06:00:48 AM"," ",2001,2001,0,2820,2820,0,85,47,57,6,6,2347,1639,0,0,72,0,0,0,0,0,0,0,0,0,0,12,43,1,12,43,1,27,,24,,33,,24,,1,5,,1,5,
